time,reference,position,measured_distance,error,velocity_control
11.78,-50,78.563,-13,0,0,
11.8,-50,77.354,-14,0,0,
11.82,-50,74.974,-12,0,0,
11.84,-50,73.411,-15,0,0,
11.86,-50,72.249,-14,0,0,
11.88,-50,69.945,-13,0,0,
11.9,-50,68.8,-13,0,0,
11.92,-50,67.279,-14,0,0,
11.94,-50,65.008,-12,0,0,
11.96,-50,63.877,-12,0,0,
11.98,-50,62.747,-13,0,0,
12,-50,60.12,-12,0,0,
12.02,-50,58.993,-10,0,0,
12.04,-50,57.864,-10,0,0,
12.06,-50,55.212,-12,0,0,
12.08,-50,54.065,-9,0,0,
12.1,-50,52.91,-10,0,0,
12.12,-50,50.571,-10,0,0,
12.14,-50,48.989,-10,0,0,
12.16,-50,47.79,-8,0,0,
12.18,-50,45.356,-11,0,0,
12.2,-50,44.124,-10,0,0,
12.22,-50,42.469,-11,0,0,
12.24,-50,39.965,-12,0,0,
12.26,-50,38.705,-13,0,0,
12.28,-50,37.443,-14,0,0,
12.3,-50,34.496,-15,0,0,
12.32,-50,33.238,-16,0,0,
12.34,-50,31.987,-15,0,0,
12.36,-50,29.523,-18,0,0,
12.38,-50,27.917,-19,0,0,
12.4,-50,26.736,-20,0,0,
12.42,-50,24.453,-18,0,0,
12.44,-50,23.372,-20,0,0,
12.46,-50,22.036,-19,0,0,
12.48,-50,20.357,-19,0,0,
12.5,-50,19.706,-20,0,0,
12.52,-50,19.198,-18,0,0,
12.54,-50,18.513,-18,0,0,
12.56,-50,18.382,-16,0,0,
12.58,-50,18.315,-14,0,0,
12.6,-50,18.279,-14,0,0,
12.62,-50,18.279,-14,0,0,
12.64,-50,18.279,-14,0,0,
12.66,-50,18.279,-14,0,0,
12.68,-50,18.279,-13,0,0,
12.7,-50,18.279,-13,0,0,
12.72,-50,18.279,-14,0,0,
12.74,-50,18.279,-12,0,0,
12.76,-50,18.279,-12,0,0,
12.78,-50,18.279,-13,0,0,
12.8,-50,18.279,-12,0,0,
12.82,-50,18.279,-13,0,0,
12.84,-50,18.279,-13,0,0,
12.86,-50,18.279,-13,0,0,
12.88,-50,18.279,-19,0,0,
12.9,-50,18.279,-23,0,0,
12.92,-50,18.279,-31,0,0,
12.94,-50,18.279,-39,0,0,
12.96,-50,18.279,-49,0,0,
12.98,-50,18.279,-69,0,0,
13,-50,18.279,-82,0,0,
13.02,-50,18.281,-104,0,0,
13.04,-50,18.322,-122,0,0,
13.06,-50,18.389,-142,0,0,
13.08,-50,18.761,-154,0,0,
13.1,-50,19.146,-169,0,0,
13.12,-50,20.89,-173,0,0,
13.14,-50,22.113,-180,0,0,
13.16,-50,25.594,-179,0,0,
13.18,-50,28.728,-179,0,0,
13.2,-50,34.617,-177,0,0,
13.22,-50,38.04,-169,0,0,
13.24,-50,46.992,-159,0,0,
13.26,-50,51.129,-150,0,0,
13.28,-50,59.686,-145,0,0,
13.3,-50,64.014,-137,0,0,
13.32,-50,73.964,-133,0,0,
13.34,-50,78.08,-129,0,0,
13.36,-50,85.886,-127,0,0,
13.38,-50,90.711,-115,0,0,
13.4,-50,97.324,-109,0,0,
13.42,-50,100.36,-101,0,0,
13.44,-50,106.8,-97,0,0,
13.46,-50,109.32,-94,0,0,
13.48,-50,113.99,-94,0,0,
13.5,-50,116.15,-86,0,0,
13.52,-50,120.7,-86,0,0,
13.54,-50,122.45,-82,0,0,
13.56,-50,125.58,-78,0,0,
13.58,-50,127.43,-76,0,0,
13.6,-50,129.92,-74,0,0,
13.62,-50,131.06,-74,0,0,
13.64,-50,133.48,-73,0,0,
13.66,-50,134.44,-71,0,0,
13.68,-50,136.19,-70,0,0,
13.7,-50,137,-66,0,0,
13.72,-50,138.74,-67,0,0,
13.74,-50,139.43,-65,0,0,
13.76,-50,140.73,-63,0,0,
13.78,-50,141.54,-64,0,0,
13.8,-50,142.69,-63,0,0,
13.82,-50,143.24,-62,0,0,
13.84,-50,144.4,-60,0,0,
13.86,-50,144.86,-60,0,0,
13.88,-50,145.72,-59,0,0,
13.9,-50,146.12,-58,0,0,
13.92,-50,147,-57,0,0,
13.94,-50,147.36,-56,0,0,
13.96,-50,148.03,-57,0,0,
13.98,-50,148.44,-58,0,0,
14,-50,149,-54,0,0,
14.02,-50,149.26,-53,0,0,
14.04,-50,149.79,-53,0,0,
14.06,-50,150,-55,0,0,
14.08,-50,150.39,-57,0,0,
14.1,-50,150.57,-55,0,0,
14.12,-50,150.95,-61,0,0,
14.14,-50,151.09,-63,0,0,
14.16,-50,151.35,-66,0,0,
14.18,-50,151.51,-70,0,0,
14.2,-50,151.79,-74,0,0,
14.22,-50,151.96,-75,0,0,
14.24,-50,152.49,-81,0,0,
14.26,-50,152.8,-84,0,0,
14.28,-50,153.6,-85,0,0,
14.3,-50,154.1,-89,0,0,
14.32,-50,155.56,-90,0,0,
14.34,-50,156.3,-94,0,0,
14.36,-50,158.01,-96,0,0,
14.38,-50,159.3,-100,0,0,
14.4,-50,161.47,-98,0,0,
14.42,-50,162.64,-103,0,0,
14.44,-50,165.6,-104,0,0,
14.46,-50,166.95,-107,0,0,
14.48,-50,169.81,-107,0,0,
14.5,-50,171.3,-110,0,0,
14.52,-50,174.95,-110,0,0,
14.54,-50,176.58,-115,0,0,
14.56,-50,179.96,-116,0,0,
14.58,-50,182.29,-118,0,0,
